Model,Accuracy,F1 Score
SVM,0.9823008849557522,0.9666666666666667
XGBoost,0.9646017699115044,0.9310344827586207
Random Forest,0.9557522123893806,0.9122807017543859
MLP,0.9469026548672567,0.896551724137931
